Acceleration X: -2.33, Y: 4.93, Z: -8.10 m/s^2
Acceleration X: -7.16, Y: 6.81, Z: -5.33 m/s^2
Rotation X: -1.80, Y: -1.95, Z: 0.25 rad/s

Acceleration X: -7.83, Y: 7.35, Z: -4.47 m/s^2
Rotation X: -1.85, Y: -2.04, Z: -0.40 rad/s

Acceleration X: -7.30, Y: 7.80, Z: -3.74 m/s^2
Rotation X: -2.21, Y: -2.25, Z: 0.51 rad/s

Acceleration X: -6.19, Y: 6.22, Z: -1.55 m/s^2
Rotation X: -2.31, Y: -2.26, Z: 1.02 rad/s

Acceleration X: -6.23, Y: 5.24, Z: -0.38 m/s^2
Rotation X: -2.20, Y: -2.11, Z: 0.71 rad/s

Acceleration X: -4.31, Y: 6.29, Z: 1.15 m/s^2
Rotation X: -1.97, Y: -1.98, Z: 0.35 rad/s

Acceleration X: -3.68, Y: 4.57, Z: 2.67 m/s^2
Rotation X: -1.74, Y: -1.62, Z: 0.26 rad/s

Acceleration X: -3.50, Y: 4.89, Z: 3.89 m/s^2
Rotation X: -1.43, Y: -1.42, Z: 0.23 rad/s

Acceleration X: -3.53, Y: 4.51, Z: 5.17 m/s^2
Rotation X: -1.24, Y: -1.05, Z: -0.18 rad/s

Acceleration X: -2.94, Y: 5.35, Z: 6.17 m/s^2
Rotation X: -0.93, Y: -0.91, Z: -0.26 rad/s

Acceleration X: -2.63, Y: 4.55, Z: 6.68 m/s^2
Rotation X: -0.86, Y: -0.82, Z: -0.09 rad/s

Acceleration X: -2.78, Y: 4.19, Z: 7.24 m/s^2
Rotation X: -0.76, Y: -0.71, Z: 0.02 rad/s

Acceleration X: -2.39, Y: 4.16, Z: 7.69 m/s^2
Rotation X: -0.61, Y: -0.51, Z: -0.14 rad/s

Acceleration X: -2.09, Y: 3.99, Z: 8.03 m/s^2
Rotation X: -0.50, Y: -0.39, Z: 0.18 rad/s

Acceleration X: -1.98, Y: 3.45, Z: 7.95 m/s^2
Rotation X: -0.34, Y: -0.23, Z: -0.02 rad/s

Acceleration X: -1.98, Y: 3.56, Z: 8.08 m/s^2
Rotation X: -0.19, Y: -0.12, Z: -0.00 rad/s

Acceleration X: -1.78, Y: 3.74, Z: 8.10 m/s^2
Rotation X: -0.07, Y: 0.03, Z: -0.13 rad/s

Acceleration X: -2.41, Y: 3.67, Z: 8.38 m/s^2
Rotation X: -0.01, Y: 0.12, Z: 0.02 rad/s

Acceleration X: -2.51, Y: 3.78, Z: 8.18 m/s^2
Rotation X: 0.05, Y: 0.19, Z: -0.14 rad/s

Acceleration X: -2.56, Y: 3.90, Z: 8.17 m/s^2
Rotation X: 0.06, Y: 0.18, Z: -0.07 rad/s

Acceleration X: -1.88, Y: 2.73, Z: 7.66 m/s^2
Rotation X: 0.20, Y: 0.30, Z: -0.20 rad/s

Acceleration X: -1.82, Y: 3.12, Z: 7.47 m/s^2
Rotation X: 0.50, Y: 0.57, Z: -0.40 rad/s

Acceleration X: -2.21, Y: 2.68, Z: 6.74 m/s^2
Rotation X: 0.78, Y: 0.93, Z: -0.46 rad/s

Acceleration X: -3.20, Y: 4.36, Z: 6.73 m/s^2
Rotation X: 0.89, Y: 1.20, Z: -0.30 rad/s

Acceleration X: -3.66, Y: 3.37, Z: 5.12 m/s^2
Rotation X: 1.19, Y: 1.39, Z: -0.55 rad/s

Acceleration X: -4.00, Y: 3.18, Z: 4.10 m/s^2
Rotation X: 1.28, Y: 1.67, Z: -0.52 rad/s

Acceleration X: -4.78, Y: 5.85, Z: 4.02 m/s^2
Rotation X: 1.61, Y: 2.00, Z: -0.43 rad/s

Acceleration X: -7.25, Y: 4.49, Z: 0.69 m/s^2
Rotation X: 1.75, Y: 2.01, Z: -0.46 rad/s

Acceleration X: -7.70, Y: 6.58, Z: 1.29 m/s^2
Rotation X: 1.52, Y: 2.17, Z: -0.08 rad/s

Acceleration X: -7.33, Y: 6.82, Z: -1.39 m/s^2
Rotation X: 1.69, Y: 1.77, Z: -0.17 rad/s

Acceleration X: -8.79, Y: 5.77, Z: -1.31 m/s^2
Rotation X: 1.38, Y: 1.82, Z: 0.39 rad/s

Acceleration X: -6.66, Y: 7.10, Z: -3.01 m/s^2
Rotation X: 1.40, Y: 1.68, Z: 0.16 rad/s

Acceleration X: -7.99, Y: 5.71, Z: -4.55 m/s^2
Rotation X: 1.11, Y: 1.41, Z: 0.50 rad/s

Acceleration X: -6.56, Y: 7.53, Z: -4.49 m/s^2
Rotation X: 1.04, Y: 1.18, Z: 0.17 rad/s

Acceleration X: -6.60, Y: 6.49, Z: -5.13 m/s^2
Rotation X: 0.78, Y: 1.04, Z: 0.59 rad/s

Acceleration X: -5.98, Y: 6.36, Z: -5.20 m/s^2
Rotation X: 0.68, Y: 0.91, Z: 0.39 rad/s

Acceleration X: -5.41, Y: 6.13, Z: -5.88 m/s^2
Rotation X: 0.59, Y: 0.76, Z: 0.40 rad/s

Acceleration X: -5.34, Y: 5.87, Z: -6.22 m/s^2
Rotation X: 0.51, Y: 0.63, Z: 0.38 rad/s

Acceleration X: -4.81, Y: 6.02, Z: -6.66 m/s^2
Rotation X: 0.34, Y: 0.54, Z: 0.08 rad/s

Acceleration X: -4.39, Y: 5.82, Z: -6.44 m/s^2
Rotation X: 0.24, Y: 0.43, Z: 0.37 rad/s

Acceleration X: -4.24, Y: 5.52, Z: -6.94 m/s^2
Rotation X: 0.21, Y: 0.37, Z: 0.33 rad/s

Acceleration X: -4.02, Y: 4.99, Z: -7.05 m/s^2
Rotation X: 0.18, Y: 0.34, Z: 0.25 rad/s

Acceleration X: -3.66, Y: 5.14, Z: -7.23 m/s^2
Rotation X: 0.18, Y: 0.28, Z: 0.08 rad/s

Acceleration X: -3.68, Y: 5.43, Z: -7.23 m/s^2
Rotation X: 0.19, Y: 0.27, Z: 0.11 rad/s

Acceleration X: -3.26, Y: 4.71, Z: -7.53 m/s^2
Rotation X: 0.22, Y: 0.21, Z: 0.22 rad/s

Acceleration X: -3.34, Y: 5.00, Z: -7.50 m/s^2
Rotation X: 0.24, Y: 0.21, Z: 0.26 rad/s

Acceleration X: -3.21, Y: 4.97, Z: -7.74 m/s^2
Rotation X: 0.24, Y: 0.22, Z: -0.01 rad/s

Acceleration X: -3.15, Y: 5.22, Z: -7.71 m/s^2
Rotation X: 0.17, Y: 0.18, Z: -0.04 rad/s

Acceleration X: -3.19, Y: 5.32, Z: -7.54 m/s^2
Rotation X: 0.09, Y: 0.14, Z: 0.04 rad/s

Acceleration X: -3.09, Y: 5.00, Z: -7.82 m/s^2
Rotation X: 0.00, Y: 0.09, Z: 0.03 rad/s

Acceleration X: -2.92, Y: 4.99, Z: -7.82 m/s^2
Rotation X: -0.03, Y: 0.09, Z: -0.01 rad/s

Acceleration X: -2.87, Y: 4.67, Z: -7.86 m/s^2
Rotation X: -0.04, Y: 0.10, Z: 0.07 rad/s

Acceleration X: -2.71, Y: 4.22, Z: -8.04 m/s^2
Rotation X: -0.04, Y: 0.04, Z: 0.06 rad/s

Acceleration X: -2.84, Y: 4.53, Z: -7.95 m/s^2
Rotation X: -0.02, Y: 0.06, Z: -0.05 rad/s

Acceleration X: -2.66, Y: 4.45, Z: -8.02 m/s^2
Rotation X: 0.02, Y: 0.04, Z: 0.08 rad/s

Acceleration X: -2.79, Y: 4.55, Z: -8.03 m/s^2
Rotation X: -0.01, Y: 0.04, Z: -0.00 rad/s

Acceleration X: -2.72, Y: 4.71, Z: -8.05 m/s^2
Rotation X: -0.06, Y: -0.01, Z: -0.04 rad/s

Acceleration X: -2.73, Y: 4.77, Z: -7.95 m/s^2
Rotation X: -0.08, Y: 0.02, Z: -0.03 rad/s

Acceleration X: -2.90, Y: 4.86, Z: -7.90 m/s^2
Rotation X: -0.14, Y: -0.03, Z: -0.12 rad/s

Acceleration X: -3.20, Y: 4.97, Z: -7.99 m/s^2
Rotation X: -0.22, Y: -0.11, Z: -0.17 rad/s

Acceleration X: -3.78, Y: 4.93, Z: -7.87 m/s^2
Rotation X: -0.33, Y: -0.27, Z: -0.26 rad/s

Acceleration X: -4.76, Y: 5.38, Z: -7.80 m/s^2
Rotation X: -0.44, Y: -0.52, Z: -0.85 rad/s

Acceleration X: -4.42, Y: 6.45, Z: -6.59 m/s^2
Rotation X: -0.62, Y: -0.88, Z: -0.63 rad/s

Acceleration X: -5.08, Y: 5.58, Z: -6.83 m/s^2
Rotation X: -0.77, Y: -1.19, Z: -0.53 rad/s

Acceleration X: -5.64, Y: 5.82, Z: -6.46 m/s^2
Rotation X: -1.01, Y: -1.22, Z: -0.45 rad/s

Acceleration X: -6.32, Y: 6.79, Z: -6.16 m/s^2
Rotation X: -1.23, Y: -1.46, Z: -0.52 rad/s

Acceleration X: -7.23, Y: 6.76, Z: -5.49 m/s^2
Rotation X: -1.35, Y: -1.70, Z: -0.22 rad/s

Acceleration X: -7.48, Y: 6.67, Z: -5.15 m/s^2
Rotation X: -1.50, Y: -1.81, Z: -0.41 rad/s

Acceleration X: -8.06, Y: 6.78, Z: -3.78 m/s^2
Rotation X: -1.66, Y: -1.94, Z: -0.31 rad/s

Acceleration X: -7.82, Y: 6.59, Z: -2.49 m/s^2
Rotation X: -1.78, Y: -2.11, Z: -0.20 rad/s

Acceleration X: -7.13, Y: 6.14, Z: -1.35 m/s^2
Rotation X: -1.80, Y: -2.13, Z: 0.13 rad/s

Acceleration X: -7.09, Y: 5.51, Z: -0.19 m/s^2
Rotation X: -1.76, Y: -2.03, Z: 0.11 rad/s

Acceleration X: -6.36, Y: 4.92, Z: 1.58 m/s^2
Rotation X: -1.71, Y: -1.97, Z: 0.16 rad/s

Acceleration X: -5.87, Y: 5.21, Z: 2.58 m/s^2
Rotation X: -1.64, Y: -1.82, Z: 0.35 rad/s

Acceleration X: -5.50, Y: 4.68, Z: 3.95 m/s^2
Rotation X: -1.55, Y: -1.73, Z: 0.21 rad/s

Acceleration X: -4.20, Y: 4.30, Z: 4.95 m/s^2
Rotation X: -1.48, Y: -1.66, Z: 0.28 rad/s

Acceleration X: -4.00, Y: 3.39, Z: 5.87 m/s^2
Rotation X: -1.36, Y: -1.47, Z: 0.33 rad/s

Acceleration X: -3.33, Y: 3.20, Z: 6.88 m/s^2
Rotation X: -1.05, Y: -1.42, Z: 0.55 rad/s

Acceleration X: -2.71, Y: 2.81, Z: 7.21 m/s^2
Rotation X: -1.02, Y: -1.24, Z: 0.29 rad/s

Acceleration X: -2.14, Y: 2.71, Z: 7.63 m/s^2
Rotation X: -0.82, Y: -0.90, Z: 0.43 rad/s

Acceleration X: -1.21, Y: 2.34, Z: 7.86 m/s^2
Rotation X: -0.65, Y: -0.59, Z: 0.17 rad/s

Acceleration X: -1.92, Y: 2.86, Z: 8.37 m/s^2
Rotation X: -0.50, Y: -0.40, Z: 0.06 rad/s

Acceleration X: -1.20, Y: 2.50, Z: 8.66 m/s^2
Rotation X: -0.38, Y: -0.34, Z: 0.13 rad/s

Acceleration X: -1.36, Y: 1.86, Z: 9.15 m/s^2
Rotation X: -0.28, Y: -0.22, Z: 0.16 rad/s

Acceleration X: -1.06, Y: 1.99, Z: 9.11 m/s^2
Rotation X: -0.17, Y: -0.15, Z: 0.08 rad/s

Acceleration X: -1.23, Y: 2.12, Z: 9.37 m/s^2
Rotation X: -0.13, Y: -0.07, Z: 0.13 rad/s

Acceleration X: -1.43, Y: 2.06, Z: 9.15 m/s^2
Rotation X: -0.08, Y: -0.01, Z: 0.04 rad/s

Acceleration X: -1.48, Y: 2.21, Z: 9.20 m/s^2
Rotation X: -0.06, Y: 0.01, Z: -0.03 rad/s

Acceleration X: -1.40, Y: 2.41, Z: 9.29 m/s^2
Rotation X: -0.06, Y: -0.01, Z: 0.03 rad/s

Acceleration X: -1.51, Y: 2.24, Z: 9.34 m/s^2
Rotation X: -0.07, Y: -0.03, Z: 0.03 rad/s

Acceleration X: -1.25, Y: 2.39, Z: 9.17 m/s^2
Rotation X: -0.08, Y: -0.03, Z: -0.02 rad/s

Acceleration X: -1.20, Y: 1.78, Z: 9.17 m/s^2
Rotation X: -0.05, Y: 0.02, Z: 0.01 rad/s

Acceleration X: -1.24, Y: 2.10, Z: 8.94 m/s^2
Rotation X: 0.03, Y: 0.12, Z: -0.13 rad/s

Acceleration X: -1.11, Y: 2.16, Z: 8.96 m/s^2
Rotation X: 0.08, Y: 0.19, Z: -0.07 rad/s

Acceleration X: -0.72, Y: 1.41, Z: 8.63 m/s^2
Rotation X: 0.25, Y: 0.37, Z: -0.06 rad/s

Acceleration X: -0.47, Y: 1.93, Z: 7.87 m/s^2
Rotation X: 0.51, Y: 0.64, Z: -0.07 rad/s

Acceleration X: -1.73, Y: 2.77, Z: 7.69 m/s^2
Rotation X: 0.90, Y: 0.97, Z: -0.11 rad/s

Acceleration X: -3.26, Y: 2.89, Z: 7.07 m/s^2
Rotation X: 1.04, Y: 1.24, Z: -0.35 rad/s

Acceleration X: -2.45, Y: 3.76, Z: 6.27 m/s^2
Rotation X: 1.33, Y: 1.29, Z: -0.01 rad/s

Acceleration X: -3.90, Y: 4.07, Z: 5.63 m/s^2
Rotation X: 1.45, Y: 1.47, Z: -0.26 rad/s

Acceleration X: -4.09, Y: 5.33, Z: 6.16 m/s^2
Rotation X: 1.46, Y: 1.74, Z: 0.14 rad/s

Acceleration X: -5.47, Y: 4.63, Z: 4.09 m/s^2
Rotation X: 1.74, Y: 1.83, Z: -0.26 rad/s

Acceleration X: -6.06, Y: 5.68, Z: 2.75 m/s^2
Rotation X: 1.32, Y: 1.72, Z: -0.17 rad/s

Acceleration X: -6.32, Y: 6.73, Z: 3.57 m/s^2
Rotation X: 1.31, Y: 2.07, Z: -0.38 rad/s

Acceleration X: -8.24, Y: 7.26, Z: -0.72 m/s^2
Rotation X: 1.23, Y: 1.56, Z: -0.01 rad/s

Acceleration X: -7.83, Y: 7.09, Z: 0.43 m/s^2
Rotation X: 0.91, Y: 1.95, Z: 0.06 rad/s

Acceleration X: -6.00, Y: 5.00, Z: -1.20 m/s^2
Rotation X: 0.91, Y: 1.69, Z: 0.25 rad/s

Acceleration X: -6.78, Y: 5.50, Z: -1.84 m/s^2
Rotation X: 1.21, Y: 1.49, Z: -0.06 rad/s

Acceleration X: -6.00, Y: 5.79, Z: -3.05 m/s^2
Rotation X: 1.44, Y: 1.71, Z: -0.03 rad/s

Acceleration X: -6.33, Y: 6.38, Z: -4.52 m/s^2
Rotation X: 1.41, Y: 1.62, Z: 0.63 rad/s

Acceleration X: -6.62, Y: 6.90, Z: -5.98 m/s^2
Rotation X: 1.44, Y: 1.59, Z: 0.43 rad/s

Acceleration X: -6.27, Y: 6.90, Z: -6.36 m/s^2
Rotation X: 1.18, Y: 1.39, Z: 0.44 rad/s

Acceleration X: -5.21, Y: 7.17, Z: -7.12 m/s^2
Rotation X: 0.79, Y: 0.95, Z: 0.52 rad/s

Acceleration X: -4.96, Y: 6.55, Z: -6.36 m/s^2
Rotation X: 0.58, Y: 0.60, Z: 0.70 rad/s

Acceleration X: -4.39, Y: 5.95, Z: -6.76 m/s^2
Rotation X: 0.42, Y: 0.42, Z: 0.48 rad/s

Acceleration X: -4.19, Y: 5.34, Z: -7.14 m/s^2
Rotation X: 0.30, Y: 0.35, Z: 0.29 rad/s

Acceleration X: -3.92, Y: 5.37, Z: -7.25 m/s^2
Rotation X: 0.23, Y: 0.29, Z: 0.17 rad/s

Acceleration X: -3.69, Y: 5.40, Z: -7.65 m/s^2
Rotation X: 0.17, Y: 0.26, Z: 0.23 rad/s

Acceleration X: -3.11, Y: 5.72, Z: -7.52 m/s^2
Rotation X: 0.14, Y: 0.34, Z: 0.26 rad/s

Acceleration X: -2.56, Y: 4.94, Z: -7.51 m/s^2
Rotation X: 0.07, Y: 0.11, Z: 0.52 rad/s

Acceleration X: -2.60, Y: 4.13, Z: -7.90 m/s^2
Rotation X: 0.02, Y: 0.05, Z: 0.18 rad/s

Acceleration X: -2.65, Y: 4.58, Z: -8.04 m/s^2
Rotation X: 0.04, Y: 0.05, Z: -0.07 rad/s

Acceleration X: -2.82, Y: 4.84, Z: -7.86 m/s^2
Rotation X: 0.06, Y: 0.05, Z: -0.13 rad/s

Acceleration X: -2.94, Y: 5.47, Z: -7.67 m/s^2
Rotation X: 0.04, Y: 0.11, Z: -0.13 rad/s

Acceleration X: -2.81, Y: 5.45, Z: -7.86 m/s^2
Rotation X: -0.07, Y: 0.08, Z: 0.04 rad/s

Acceleration X: -2.56, Y: 5.04, Z: -7.84 m/s^2
Rotation X: -0.10, Y: 0.05, Z: 0.08 rad/s

Acceleration X: -2.41, Y: 4.57, Z: -7.89 m/s^2
Rotation X: -0.13, Y: 0.00, Z: 0.16 rad/s

Acceleration X: -2.46, Y: 4.11, Z: -8.18 m/s^2
Rotation X: -0.12, Y: -0.03, Z: -0.03 rad/s

Acceleration X: -2.53, Y: 4.59, Z: -8.03 m/s^2
Rotation X: -0.02, Y: 0.02, Z: -0.06 rad/s

Acceleration X: -2.70, Y: 4.91, Z: -7.93 m/s^2
Rotation X: -0.02, Y: 0.00, Z: -0.12 rad/s

Acceleration X: -3.11, Y: 5.32, Z: -7.65 m/s^2
Rotation X: -0.10, Y: -0.09, Z: -0.14 rad/s

Acceleration X: -3.32, Y: 5.54, Z: -7.82 m/s^2
Rotation X: -0.27, Y: -0.21, Z: -0.26 rad/s

Acceleration X: -3.66, Y: 5.50, Z: -7.69 m/s^2
Rotation X: -0.37, Y: -0.39, Z: -0.36 rad/s

Acceleration X: -4.68, Y: 6.17, Z: -7.61 m/s^2
Rotation X: -0.51, Y: -0.55, Z: -0.52 rad/s

Acceleration X: -4.80, Y: 6.29, Z: -7.06 m/s^2
Rotation X: -0.96, Y: -0.90, Z: -0.68 rad/s

Acceleration X: -5.70, Y: 7.01, Z: -6.78 m/s^2
Rotation X: -1.22, Y: -1.29, Z: -1.01 rad/s

Acceleration X: -6.18, Y: 6.74, Z: -6.40 m/s^2
Rotation X: -1.49, Y: -1.57, Z: -0.62 rad/s

Acceleration X: -6.76, Y: 6.85, Z: -5.52 m/s^2
Rotation X: -1.60, Y: -1.83, Z: -0.48 rad/s

Acceleration X: -7.32, Y: 6.60, Z: -4.77 m/s^2
Rotation X: -1.64, Y: -1.99, Z: -0.49 rad/s

Acceleration X: -7.31, Y: 6.66, Z: -3.49 m/s^2
Rotation X: -1.69, Y: -2.08, Z: -0.46 rad/s

Acceleration X: -6.90, Y: 6.52, Z: -1.94 m/s^2
Rotation X: -1.69, Y: -2.15, Z: -0.33 rad/s

Acceleration X: -6.89, Y: 5.53, Z: -1.22 m/s^2
Rotation X: -1.70, Y: -2.14, Z: -0.02 rad/s

Acceleration X: -6.47, Y: 6.39, Z: 0.42 m/s^2
Rotation X: -1.71, Y: -2.00, Z: 0.10 rad/s

Acceleration X: -6.57, Y: 5.37, Z: 1.75 m/s^2
Rotation X: -1.73, Y: -1.94, Z: 0.31 rad/s

Acceleration X: -5.66, Y: 4.71, Z: 2.77 m/s^2
Rotation X: -1.65, Y: -1.88, Z: 0.01 rad/s

Acceleration X: -5.01, Y: 4.23, Z: 4.05 m/s^2
Rotation X: -1.46, Y: -1.71, Z: 0.10 rad/s

Acceleration X: -4.44, Y: 4.25, Z: 5.21 m/s^2
Rotation X: -1.26, Y: -1.52, Z: 0.06 rad/s

Acceleration X: -4.09, Y: 3.42, Z: 5.84 m/s^2
Rotation X: -1.06, Y: -1.24, Z: 0.14 rad/s

Acceleration X: -3.58, Y: 3.12, Z: 6.62 m/s^2
Rotation X: -0.85, Y: -0.99, Z: -0.09 rad/s

Acceleration X: -3.08, Y: 2.84, Z: 7.19 m/s^2
Rotation X: -0.68, Y: -0.82, Z: -0.05 rad/s

Acceleration X: -2.50, Y: 2.80, Z: 7.56 m/s^2
Rotation X: -0.54, Y: -0.56, Z: 0.20 rad/s

Acceleration X: -2.69, Y: 3.16, Z: 8.21 m/s^2
Rotation X: -0.43, Y: -0.40, Z: 0.16 rad/s

Acceleration X: -2.76, Y: 2.64, Z: 8.14 m/s^2
Rotation X: -0.43, Y: -0.36, Z: 0.08 rad/s

Acceleration X: -2.53, Y: 2.39, Z: 8.46 m/s^2
Rotation X: -0.40, Y: -0.31, Z: 0.13 rad/s

Acceleration X: -2.35, Y: 2.87, Z: 8.69 m/s^2
Rotation X: -0.33, Y: -0.23, Z: 0.34 rad/s

Acceleration X: -2.50, Y: 2.41, Z: 8.51 m/s^2
Rotation X: -0.24, Y: -0.11, Z: 0.34 rad/s

Acceleration X: -2.54, Y: 2.30, Z: 8.56 m/s^2
Rotation X: -0.20, Y: -0.02, Z: 0.04 rad/s

Acceleration X: -2.08, Y: 2.40, Z: 8.88 m/s^2
Rotation X: -0.15, Y: -0.01, Z: 0.10 rad/s

Acceleration X: -2.21, Y: 2.28, Z: 9.08 m/s^2
Rotation X: -0.10, Y: -0.00, Z: 0.12 rad/s

Acceleration X: -2.26, Y: 2.16, Z: 8.95 m/s^2
Rotation X: -0.09, Y: -0.03, Z: 0.15 rad/s

Acceleration X: -2.33, Y: 2.13, Z: 8.81 m/s^2
Rotation X: -0.03, Y: 0.03, Z: -0.03 rad/s

Acceleration X: -1.87, Y: 2.00, Z: 8.50 m/s^2
Rotation X: 0.03, Y: 0.16, Z: -0.13 rad/s

